YEAR,REGION,STATE,CIOTHSVC,CIOTHSVC_COUNTS
2013,11,Connecticut,0.0,6900
2013,11,Connecticut,1.0,342
2013,11,Connecticut,2.0,29140
2013,11,Maine,0.0,3159
2013,11,Maine,1.0,182
2013,11,Maine,2.0,9641
2013,11,Massachusetts,0.0,13298
2013,11,Massachusetts,1.0,604
2013,11,Massachusetts,2.0,54823
2013,11,New Hampshire,0.0,2399
2013,11,New Hampshire,1.0,111
2013,11,New Hampshire,2.0,11037
2013,11,Rhode Island,0.0,2206
2013,11,Rhode Island,1.0,77
2013,11,Rhode Island,2.0,8335
2013,11,Vermont,0.0,1373
2013,11,Vermont,1.0,77
2013,11,Vermont,2.0,4938
2013,12,New Jersey,0.0,14984
2013,12,New Jersey,1.0,844
2013,12,New Jersey,2.0,72682
2013,12,New York,0.0,44422
2013,12,New York,1.0,2085
2013,12,New York,2.0,149658
2013,12,Pennsylvania,0.0,31254
2013,12,Pennsylvania,1.0,1057
2013,12,Pennsylvania,2.0,96071
2013,21,Illinois,0.0,28293
2013,21,Illinois,1.0,1664
2013,21,Illinois,2.0,98113
2013,21,Indiana,0.0,17644
2013,21,Indiana,1.0,871
2013,21,Indiana,2.0,47848
2013,21,Michigan,0.0,25159
2013,21,Michigan,1.0,1555
2013,21,Michigan,2.0,72727
2013,21,Ohio,0.0,29144
2013,21,Ohio,1.0,1421
2013,21,Ohio,2.0,87658
2013,21,Wisconsin,0.0,14085
2013,21,Wisconsin,1.0,828
2013,21,Wisconsin,2.0,43643
2013,22,Iowa,0.0,7932
2013,22,Iowa,1.0,398
2013,22,Iowa,2.0,23487
2013,22,Kansas,0.0,7275
2013,22,Kansas,1.0,477
2013,22,Kansas,2.0,21617
2013,22,Minnesota,0.0,12081
2013,22,Minnesota,1.0,865
2013,22,Minnesota,2.0,42042
2013,22,Missouri,0.0,17086
2013,22,Missouri,1.0,975
2013,22,Missouri,2.0,43638
2013,22,Nebraska,0.0,4636
2013,22,Nebraska,1.0,283
2013,22,Nebraska,2.0,13916
2013,22,North Dakota,0.0,1804
2013,22,North Dakota,1.0,89
2013,22,North Dakota,2.0,5542
2013,22,South Dakota,0.0,2437
2013,22,South Dakota,1.0,117
2013,22,South Dakota,2.0,6186
2013,31,Delaware,0.0,1944
2013,31,Delaware,1.0,90
2013,31,Delaware,2.0,6733
2013,31,District of Columbia,0.0,1828
2013,31,District of Columbia,1.0,72
2013,31,District of Columbia,2.0,4672
2013,31,Florida,0.0,42685
2013,31,Florida,1.0,1985
2013,31,Florida,2.0,146364
2013,31,Georgia,0.0,24646
2013,31,Georgia,1.0,1100
2013,31,Georgia,2.0,70822
2013,31,Maryland,0.0,10982
2013,31,Maryland,1.0,751
2013,31,Maryland,2.0,47300
2013,31,North Carolina,0.0,25469
2013,31,North Carolina,1.0,1020
2013,31,North Carolina,2.0,70821
2013,31,South Carolina,0.0,13756
2013,31,South Carolina,1.0,741
2013,31,South Carolina,2.0,32708
2013,31,Virginia,0.0,17633
2013,31,Virginia,1.0,933
2013,31,Virginia,2.0,64478
2013,31,West Virginia,0.0,5454
2013,31,West Virginia,1.0,145
2013,31,West Virginia,2.0,12669
2013,32,Alabama,0.0,15307
2013,32,Alabama,1.0,431
2013,32,Alabama,2.0,32098
2013,32,Kentucky,0.0,12387
2013,32,Kentucky,1.0,464
2013,32,Kentucky,2.0,32146
2013,32,Mississippi,0.0,11663
2013,32,Mississippi,1.0,346
2013,32,Mississippi,2.0,17639
2013,32,Tennessee,0.0,18557
2013,32,Tennessee,1.0,785
2013,32,Tennessee,2.0,45806
2013,33,Arkansas,0.0,10424
2013,33,Arkansas,1.0,395
2013,33,Arkansas,2.0,18772
2013,33,Louisiana,0.0,14086
2013,33,Louisiana,1.0,495
2013,33,Louisiana,2.0,30046
2013,33,Oklahoma,0.0,12793
2013,33,Oklahoma,1.0,634
2013,33,Oklahoma,2.0,23719
2013,33,Texas,0.0,65519
2013,33,Texas,1.0,4317
2013,33,Texas,2.0,183763
2013,41,Arizona,0.0,17329
2013,41,Arizona,1.0,642
2013,41,Arizona,2.0,48561
2013,41,Colorado,0.0,9428
2013,41,Colorado,1.0,799
2013,41,Colorado,2.0,41880
2013,41,Idaho,0.0,3446
2013,41,Idaho,1.0,309
2013,41,Idaho,2.0,12031
2013,41,Montana,0.0,2561
2013,41,Montana,1.0,165
2013,41,Montana,2.0,7387
2013,41,Nevada,0.0,5318
2013,41,Nevada,1.0,428
2013,41,Nevada,2.0,21002
2013,41,New Mexico,0.0,7048
2013,41,New Mexico,1.0,397
2013,41,New Mexico,2.0,12269
2013,41,Utah,0.0,4668
2013,41,Utah,1.0,461
2013,41,Utah,2.0,23838
2013,41,Wyoming,0.0,1288
2013,41,Wyoming,1.0,138
2013,41,Wyoming,2.0,4402
2013,42,Alaska,0.0,1989
2013,42,Alaska,1.0,97
2013,42,Alaska,2.0,4662
2013,42,California,0.0,76297
2013,42,California,1.0,4941
2013,42,California,2.0,290165
2013,42,Hawaii,0.0,2825
2013,42,Hawaii,1.0,109
2013,42,Hawaii,2.0,11352
2013,42,Oregon,0.0,7638
2013,42,Oregon,1.0,598
2013,42,Oregon,2.0,31106
2013,42,Washington,0.0,12549
2013,42,Washington,1.0,1089
2013,42,Washington,2.0,55955
2015,11,Connecticut,0.0,6028
2015,11,Connecticut,1.0,388
2015,11,Connecticut,2.0,29371
2015,11,Maine,0.0,2935
2015,11,Maine,1.0,160
2015,11,Maine,2.0,9964
2015,11,Massachusetts,0.0,12321
2015,11,Massachusetts,1.0,533
2015,11,Massachusetts,2.0,55931
2015,11,New Hampshire,0.0,2216
2015,11,New Hampshire,1.0,96
2015,11,New Hampshire,2.0,11066
2015,11,Rhode Island,0.0,2114
2015,11,Rhode Island,1.0,67
2015,11,Rhode Island,2.0,8382
2015,11,Vermont,0.0,1223
2015,11,Vermont,1.0,73
2015,11,Vermont,2.0,5030
2015,12,New Jersey,0.0,13521
2015,12,New Jersey,1.0,769
2015,12,New Jersey,2.0,73525
2015,12,New York,0.0,40055
2015,12,New York,1.0,2792
2015,12,New York,2.0,152895
2015,12,Pennsylvania,0.0,29240
2015,12,Pennsylvania,1.0,988
2015,12,Pennsylvania,2.0,97917
2015,21,Illinois,0.0,25228
2015,21,Illinois,1.0,1975
2015,21,Illinois,2.0,99439
2015,21,Indiana,0.0,16291
2015,21,Indiana,1.0,910
2015,21,Indiana,2.0,48844
2015,21,Michigan,0.0,22672
2015,21,Michigan,1.0,1488
2015,21,Michigan,2.0,73848
2015,21,Ohio,0.0,25751
2015,21,Ohio,1.0,1205
2015,21,Ohio,2.0,91167
2015,21,Wisconsin,0.0,12767
2015,21,Wisconsin,1.0,868
2015,21,Wisconsin,2.0,44943
2015,22,Iowa,0.0,7433
2015,22,Iowa,1.0,384
2015,22,Iowa,2.0,24083
2015,22,Kansas,0.0,6383
2015,22,Kansas,1.0,480
2015,22,Kansas,2.0,21911
2015,22,Minnesota,0.0,10891
2015,22,Minnesota,1.0,818
2015,22,Minnesota,2.0,43102
2015,22,Missouri,0.0,15728
2015,22,Missouri,1.0,994
2015,22,Missouri,2.0,44864
2015,22,Nebraska,0.0,3989
2015,22,Nebraska,1.0,226
2015,22,Nebraska,2.0,14874
2015,22,North Dakota,0.0,1746
2015,22,North Dakota,1.0,88
2015,22,North Dakota,2.0,6035
2015,22,South Dakota,0.0,2227
2015,22,South Dakota,1.0,139
2015,22,South Dakota,2.0,6376
2015,31,Delaware,0.0,1717
2015,31,Delaware,1.0,93
2015,31,Delaware,2.0,7207
2015,31,District of Columbia,0.0,1595
2015,31,District of Columbia,1.0,68
2015,31,District of Columbia,2.0,4947
2015,31,Florida,0.0,38408
2015,31,Florida,1.0,1942
2015,31,Florida,2.0,154198
2015,31,Georgia,0.0,23113
2015,31,Georgia,1.0,1117
2015,31,Georgia,2.0,73624
2015,31,Maryland,0.0,9990
2015,31,Maryland,1.0,778
2015,31,Maryland,2.0,48564
2015,31,North Carolina,0.0,23333
2015,31,North Carolina,1.0,946
2015,31,North Carolina,2.0,73905
2015,31,South Carolina,0.0,13270
2015,31,South Carolina,1.0,892
2015,31,South Carolina,2.0,33861
2015,31,Virginia,0.0,16321
2015,31,Virginia,1.0,1019
2015,31,Virginia,2.0,66132
2015,31,West Virginia,0.0,4731
2015,31,West Virginia,1.0,157
2015,31,West Virginia,2.0,13163
2015,32,Alabama,0.0,14002
2015,32,Alabama,1.0,724
2015,32,Alabama,2.0,32750
2015,32,Kentucky,0.0,11488
2015,32,Kentucky,1.0,420
2015,32,Kentucky,2.0,32841
2015,32,Mississippi,0.0,10946
2015,32,Mississippi,1.0,464
2015,32,Mississippi,2.0,18190
2015,32,Tennessee,0.0,17186
2015,32,Tennessee,1.0,760
2015,32,Tennessee,2.0,47603
2015,33,Arkansas,0.0,9609
2015,33,Arkansas,1.0,393
2015,33,Arkansas,2.0,19603
2015,33,Louisiana,0.0,12470
2015,33,Louisiana,1.0,619
2015,33,Louisiana,2.0,30803
2015,33,Oklahoma,0.0,11534
2015,33,Oklahoma,1.0,673
2015,33,Oklahoma,2.0,25044
2015,33,Texas,0.0,61954
2015,33,Texas,1.0,4781
2015,33,Texas,2.0,192489
2015,41,Arizona,0.0,14975
2015,41,Arizona,1.0,889
2015,41,Arizona,2.0,51150
2015,41,Colorado,0.0,8272
2015,41,Colorado,1.0,781
2015,41,Colorado,2.0,44517
2015,41,Idaho,0.0,3031
2015,41,Idaho,1.0,284
2015,41,Idaho,2.0,12410
2015,41,Montana,0.0,2327
2015,41,Montana,1.0,156
2015,41,Montana,2.0,7358
2015,41,Nevada,0.0,4662
2015,41,Nevada,1.0,402
2015,41,Nevada,2.0,21924
2015,41,New Mexico,0.0,6682
2015,41,New Mexico,1.0,276
2015,41,New Mexico,2.0,12114
2015,41,Utah,0.0,4160
2015,41,Utah,1.0,485
2015,41,Utah,2.0,24645
2015,41,Wyoming,0.0,1170
2015,41,Wyoming,1.0,149
2015,41,Wyoming,2.0,4500
2015,42,Alaska,0.0,1502
2015,42,Alaska,1.0,143
2015,42,Alaska,2.0,4974
2015,42,California,0.0,64911
2015,42,California,1.0,5612
2015,42,California,2.0,304420
2015,42,Hawaii,0.0,2395
2015,42,Hawaii,1.0,118
2015,42,Hawaii,2.0,11611
2015,42,Oregon,0.0,6743
2015,42,Oregon,1.0,553
2015,42,Oregon,2.0,32696
2015,42,Washington,0.0,10858
2015,42,Washington,1.0,906
2015,42,Washington,2.0,60040
2017,11,Connecticut,0.0,4884
2017,11,Connecticut,1.0,178
2017,11,Connecticut,2.0,30916
2017,11,Maine,0.0,2299
2017,11,Maine,1.0,121
2017,11,Maine,2.0,10163
2017,11,Massachusetts,0.0,10140
2017,11,Massachusetts,1.0,395
2017,11,Massachusetts,2.0,59100
2017,11,New Hampshire,0.0,1741
2017,11,New Hampshire,1.0,99
2017,11,New Hampshire,2.0,11868
2017,11,Rhode Island,0.0,1609
2017,11,Rhode Island,1.0,49
2017,11,Rhode Island,2.0,8858
2017,11,Vermont,0.0,1111
2017,11,Vermont,1.0,47
2017,11,Vermont,2.0,5182
2017,12,New Jersey,0.0,10012
2017,12,New Jersey,1.0,595
2017,12,New Jersey,2.0,77507
2017,12,New York,0.0,30905
2017,12,New York,1.0,1712
2017,12,New York,2.0,163968
2017,12,Pennsylvania,0.0,22223
2017,12,Pennsylvania,1.0,1119
2017,12,Pennsylvania,2.0,104091
2017,21,Illinois,0.0,18224
2017,21,Illinois,1.0,1223
2017,21,Illinois,2.0,107035
2017,21,Indiana,0.0,11747
2017,21,Indiana,1.0,587
2017,21,Indiana,2.0,54670
2017,21,Michigan,0.0,15604
2017,21,Michigan,1.0,1088
2017,21,Michigan,2.0,82767
2017,21,Ohio,0.0,19126
2017,21,Ohio,1.0,856
2017,21,Ohio,2.0,98860
2017,21,Wisconsin,0.0,9526
2017,21,Wisconsin,1.0,657
2017,21,Wisconsin,2.0,48876
2017,22,Iowa,0.0,5680
2017,22,Iowa,1.0,268
2017,22,Iowa,2.0,26508
2017,22,Kansas,0.0,4898
2017,22,Kansas,1.0,250
2017,22,Kansas,2.0,24226
2017,22,Minnesota,0.0,7848
2017,22,Minnesota,1.0,611
2017,22,Minnesota,2.0,46702
2017,22,Missouri,0.0,11258
2017,22,Missouri,1.0,620
2017,22,Missouri,2.0,50195
2017,22,Nebraska,0.0,3039
2017,22,Nebraska,1.0,166
2017,22,Nebraska,2.0,16340
2017,22,North Dakota,0.0,1470
2017,22,North Dakota,1.0,55
2017,22,North Dakota,2.0,6367
2017,22,South Dakota,0.0,1860
2017,22,South Dakota,1.0,62
2017,22,South Dakota,2.0,6959
2017,31,Delaware,0.0,1115
2017,31,Delaware,1.0,68
2017,31,Delaware,2.0,7760
2017,31,District of Columbia,0.0,1274
2017,31,District of Columbia,1.0,46
2017,31,District of Columbia,2.0,5245
2017,31,Florida,0.0,29624
2017,31,Florida,1.0,1751
2017,31,Florida,2.0,168269
2017,31,Georgia,0.0,16409
2017,31,Georgia,1.0,802
2017,31,Georgia,2.0,82588
2017,31,Maryland,0.0,7110
2017,31,Maryland,1.0,408
2017,31,Maryland,2.0,51945
2017,31,North Carolina,0.0,17283
2017,31,North Carolina,1.0,740
2017,31,North Carolina,2.0,83210
2017,31,South Carolina,0.0,9600
2017,31,South Carolina,1.0,364
2017,31,South Carolina,2.0,39474
2017,31,Virginia,0.0,11829
2017,31,Virginia,1.0,749
2017,31,Virginia,2.0,71844
2017,31,West Virginia,0.0,3675
2017,31,West Virginia,1.0,121
2017,31,West Virginia,2.0,13962
2017,32,Alabama,0.0,9583
2017,32,Alabama,1.0,363
2017,32,Alabama,2.0,37699
2017,32,Kentucky,0.0,8769
2017,32,Kentucky,1.0,364
2017,32,Kentucky,2.0,36076
2017,32,Mississippi,0.0,6972
2017,32,Mississippi,1.0,255
2017,32,Mississippi,2.0,21869
2017,32,Tennessee,0.0,12076
2017,32,Tennessee,1.0,522
2017,32,Tennessee,2.0,53977
2017,33,Arkansas,0.0,7336
2017,33,Arkansas,1.0,227
2017,33,Arkansas,2.0,22458
2017,33,Louisiana,0.0,9242
2017,33,Louisiana,1.0,408
2017,33,Louisiana,2.0,34374
2017,33,Oklahoma,0.0,8478
2017,33,Oklahoma,1.0,525
2017,33,Oklahoma,2.0,28102
2017,33,Texas,0.0,41927
2017,33,Texas,1.0,3376
2017,33,Texas,2.0,220539
2017,41,Arizona,0.0,11265
2017,41,Arizona,1.0,609
2017,41,Arizona,2.0,56989
2017,41,Colorado,0.0,6534
2017,41,Colorado,1.0,531
2017,41,Colorado,2.0,48535
2017,41,Idaho,0.0,2293
2017,41,Idaho,1.0,181
2017,41,Idaho,2.0,14062
2017,41,Montana,0.0,1926
2017,41,Montana,1.0,135
2017,41,Montana,2.0,8160
2017,41,Nevada,0.0,3577
2017,41,Nevada,1.0,221
2017,41,Nevada,2.0,24615
2017,41,New Mexico,0.0,5063
2017,41,New Mexico,1.0,211
2017,41,New Mexico,2.0,13747
2017,41,Utah,0.0,3510
2017,41,Utah,1.0,189
2017,41,Utah,2.0,27205
2017,41,Wyoming,0.0,871
2017,41,Wyoming,1.0,44
2017,41,Wyoming,2.0,4997
2017,42,Alaska,0.0,1597
2017,42,Alaska,1.0,96
2017,42,Alaska,2.0,5053
2017,42,California,0.0,46317
2017,42,California,1.0,3024
2017,42,California,2.0,328234
2017,42,Hawaii,0.0,2154
2017,42,Hawaii,1.0,79
2017,42,Hawaii,2.0,12200
2017,42,Oregon,0.0,5128
2017,42,Oregon,1.0,316
2017,42,Oregon,2.0,35775
2017,42,Washington,0.0,8102
2017,42,Washington,1.0,660
2017,42,Washington,2.0,65933
2018,11,Connecticut,0.0,4628
2018,11,Connecticut,1.0,190
2018,11,Connecticut,2.0,31469
2018,11,Maine,0.0,2131
2018,11,Maine,1.0,93
2018,11,Maine,2.0,11051
2018,11,Massachusetts,0.0,9732
2018,11,Massachusetts,1.0,346
2018,11,Massachusetts,2.0,60053
2018,11,New Hampshire,0.0,1653
2018,11,New Hampshire,1.0,70
2018,11,New Hampshire,2.0,12057
2018,11,Rhode Island,0.0,1538
2018,11,Rhode Island,1.0,66
2018,11,Rhode Island,2.0,8885
2018,11,Vermont,0.0,1056
2018,11,Vermont,1.0,48
2018,11,Vermont,2.0,5332
2018,12,New Jersey,0.0,10244
2018,12,New Jersey,1.0,529
2018,12,New Jersey,2.0,77813
2018,12,New York,0.0,28947
2018,12,New York,1.0,1561
2018,12,New York,2.0,166459
2018,12,Pennsylvania,0.0,20958
2018,12,Pennsylvania,1.0,1069
2018,12,Pennsylvania,2.0,107039
2018,21,Illinois,0.0,16861
2018,21,Illinois,1.0,1140
2018,21,Illinois,2.0,108455
2018,21,Indiana,0.0,11041
2018,21,Indiana,1.0,643
2018,21,Indiana,2.0,55996
2018,21,Michigan,0.0,14411
2018,21,Michigan,1.0,1120
2018,21,Michigan,2.0,83888
2018,21,Ohio,0.0,17741
2018,21,Ohio,1.0,749
2018,21,Ohio,2.0,100596
2018,21,Wisconsin,0.0,9111
2018,21,Wisconsin,1.0,643
2018,21,Wisconsin,2.0,50079
2018,22,Iowa,0.0,5239
2018,22,Iowa,1.0,257
2018,22,Iowa,2.0,26866
2018,22,Kansas,0.0,4440
2018,22,Kansas,1.0,321
2018,22,Kansas,2.0,24806
2018,22,Minnesota,0.0,7629
2018,22,Minnesota,1.0,606
2018,22,Minnesota,2.0,47548
2018,22,Missouri,0.0,10624
2018,22,Missouri,1.0,584
2018,22,Missouri,2.0,51208
2018,22,Nebraska,0.0,2836
2018,22,Nebraska,1.0,133
2018,22,Nebraska,2.0,16482
2018,22,North Dakota,0.0,1458
2018,22,North Dakota,1.0,66
2018,22,North Dakota,2.0,6352
2018,22,South Dakota,0.0,1644
2018,22,South Dakota,1.0,42
2018,22,South Dakota,2.0,7300
2018,31,Delaware,0.0,1121
2018,31,Delaware,1.0,66
2018,31,Delaware,2.0,7936
2018,31,District of Columbia,0.0,1071
2018,31,District of Columbia,1.0,54
2018,31,District of Columbia,2.0,5424
2018,31,Florida,0.0,27164
2018,31,Florida,1.0,1675
2018,31,Florida,2.0,173321
2018,31,Georgia,0.0,15552
2018,31,Georgia,1.0,853
2018,31,Georgia,2.0,84450
2018,31,Maryland,0.0,6983
2018,31,Maryland,1.0,377
2018,31,Maryland,2.0,52480
2018,31,North Carolina,0.0,16365
2018,31,North Carolina,1.0,736
2018,31,North Carolina,2.0,85422
2018,31,South Carolina,0.0,8636
2018,31,South Carolina,1.0,337
2018,31,South Carolina,2.0,40845
2018,31,Virginia,0.0,11206
2018,31,Virginia,1.0,803
2018,31,Virginia,2.0,72746
2018,31,West Virginia,0.0,3498
2018,31,West Virginia,1.0,114
2018,31,West Virginia,2.0,14454
2018,32,Alabama,0.0,8829
2018,32,Alabama,1.0,376
2018,32,Alabama,2.0,38572
2018,32,Kentucky,0.0,7864
2018,32,Kentucky,1.0,328
2018,32,Kentucky,2.0,37283
2018,32,Mississippi,0.0,6483
2018,32,Mississippi,1.0,276
2018,32,Mississippi,2.0,22365
2018,32,Tennessee,0.0,10800
2018,32,Tennessee,1.0,612
2018,32,Tennessee,2.0,56538
2018,33,Arkansas,0.0,6316
2018,33,Arkansas,1.0,301
2018,33,Arkansas,2.0,23886
2018,33,Louisiana,0.0,8435
2018,33,Louisiana,1.0,340
2018,33,Louisiana,2.0,34814
2018,33,Oklahoma,0.0,7853
2018,33,Oklahoma,1.0,761
2018,33,Oklahoma,2.0,29034
2018,33,Texas,0.0,39322
2018,33,Texas,1.0,2916
2018,33,Texas,2.0,225862
2018,41,Arizona,0.0,10634
2018,41,Arizona,1.0,565
2018,41,Arizona,2.0,58791
2018,41,Colorado,0.0,5828
2018,41,Colorado,1.0,507
2018,41,Colorado,2.0,49593
2018,41,Idaho,0.0,2164
2018,41,Idaho,1.0,187
2018,41,Idaho,2.0,14360
2018,41,Montana,0.0,1667
2018,41,Montana,1.0,119
2018,41,Montana,2.0,8550
2018,41,Nevada,0.0,3213
2018,41,Nevada,1.0,183
2018,41,Nevada,2.0,25531
2018,41,New Mexico,0.0,4705
2018,41,New Mexico,1.0,224
2018,41,New Mexico,2.0,14318
2018,41,Utah,0.0,3168
2018,41,Utah,1.0,264
2018,41,Utah,2.0,28171
2018,41,Wyoming,0.0,843
2018,41,Wyoming,1.0,69
2018,41,Wyoming,2.0,4828
2018,42,Alaska,0.0,1540
2018,42,Alaska,1.0,68
2018,42,Alaska,2.0,5103
2018,42,California,0.0,44209
2018,42,California,1.0,2797
2018,42,California,2.0,331811
2018,42,Hawaii,0.0,2007
2018,42,Hawaii,1.0,66
2018,42,Hawaii,2.0,12327
2018,42,Oregon,0.0,5016
2018,42,Oregon,1.0,413
2018,42,Oregon,2.0,36688
2018,42,Washington,0.0,7932
2018,42,Washington,1.0,615
2018,42,Washington,2.0,67678
